AddressID;AddressLine1;City;StateProvinceID;PostalCode
532;#500-75 O'Connor Street;Ottawa;57;K4B 1S2
497;#9900 2700 Production Way;Burnaby;7;V5A 4X1
29781;00, rue Saint-Lazare;Dunkerque;145;59140
24231;02, place de Fontenoy;Verrieres Le Buisson;177;91370
19637;035, boulevard du Montparnasse;Verrieres Le Buisson;177;91370
15671;081, boulevard du Montparnasse;Saint-Denis;179;93400
13079;081, boulevard du Montparnasse;Seattle;79;98104
21354;084, boulevard du Montparnasse;Les Ulis;177;91940
910;1 Corporate Center Drive;Miami;15;33127
322;1 Mt. Dell Drive;Portland;58;97205
12037;1 Smiling Tree Court;Los Angeles;9;90012
20437;1, allée des Princes;Courbevoie;178;92400
21843;1, avenue des Champs-Elysées;Paris;161;75017
12753;1, boulevard Beau Marchais;Sèvres;178;92310
20289;1, cours Mirabeau;Roncq;145;59223
16455;1, place Beaubernard;Paris;161;75003
18991;1, place Beaubernard;Paris;161;75009
27348;1, place Beaubernard;Saint-Denis;179;93400
26115;1, place Beaubernard;Tremblay-en-France;179;93290
29410;1, place de Brazaville;Colomiers;117;31770
26916;1, place de Brazaville;Dunkerque;145;59140
28885;1, place de Brazaville;Lille;145;59000
708;1, place de la République;Paris;161;75017
23902;1, rue de Courtaboeuf;Lieusaint;163;77127
20814;1, rue de Courtaboeuf;Lille;145;59000
29062;1, rue de Courtaboeuf;Versailles;164;78000
21273;1, rue de Fontfroide;Paris;161;75003
28830;1, rue de l´Avenir;Chatou;164;78400
17417;1, rue de l´Avenir;Morangis;177;91420
24416;1, rue de la Cavalerie;Paris La Defense;178;92081
21700;1, rue de la Cavalerie;Roncq;145;59223
15839;1, rue de la Cavalerie;Sèvres;178;92310
23481;1, rue de la Centenaire;Cergy;181;95000
29507;1, rue de la Centenaire;Colombes;178;92700
26346;1, rue de la Centenaire;Les Ulis;177;91940
11774;1, rue de la Centenaire;Lille;145;59000
22052;1, rue de la Centenaire;Roubaix;145;59100
28024;1, rue de la Centenaire;Saint-Denis;179;93400
18707;1, rue de la Centenaire;Versailles;164;78000
19300;1, rue de Maubeuge;Metz;143;57000
16304;1, rue de Maubeuge;Morangis;177;91420
16055;1, rue de Maubeuge;Paris;161;75007
27160;1, rue de Maubeuge;Paris;161;75009
19001;1, rue de Maubeuge;Saint Germain en Laye;164;78100
25114;1, rue de Maubeuge;Villeneuve-d'Ascq;145;59491
26175;1, rue de Varenne;Boulogne-Billancourt;178;92100
23032;1, rue de Varenne;Dunkerque;145;59140
23381;1, rue Georges-Clémenceau;Paris;161;75003
23028;1, rue Lamarck;Versailles;164;78000
23625;1, rue Pierre-Demoulin;Croix;145;59170
21822;1, rue Pierre-Demoulin;Les Ulis;177;91940
22345;1, rue Pierre-Demoulin;Orleans;131;45000
13410;1, rue Pierre-Demoulin;Paris;161;75007
15845;1, rue Pierre-Demoulin;Paris;161;75012
19933;1, rue Ste-Honoré;Saint Ouen;127;41100
12062;10 Napa Ct.;Lebanon;58;97355
18835;10, avenue de Norvege;Paris;161;75005
18016;10, avenue du Port;Roissy en Brie;163;77680
12138;10, avenue du Président-Kennedy;Paris;161;75019
29409;10, impasse Ste-Madeleine;Tremblay-en-France;179;93290
29816;10, place Beaubernard;Verrieres Le Buisson;177;91370
17611;10, place de Fontenoy;Roubaix;145;59100
28379;10, route de Marseille;Pantin;179;93500
22261;10, rue de l´Avenir;Suresnes;178;92150
25952;10, rue de la Centenaire;Saint-Denis;179;93400
20955;10, rue de la Comédie;Lille;145;59000
23045;10, rue de Maubeuge;Orleans;131;45000
14096;10, rue des Vendangeurs;Saint Germain en Laye;164;78100
20738;10, rue Lafayette;Paris;161;75007
24898;10, rue Lauriston;Bobigny;179;93000
29847;10, rue Philibert-Delorme;Paris;161;75007
26855;10, rue Pierre-Demoulin;Orleans;131;45000
20876;10, rue Royale;Courbevoie;178;92400
16163;10, rue Royale;Sèvres;178;92310
911;100 Fifth Drive;Millington;72;38054
27590;100, boulevard d´Albi;Paris;161;75006
26489;100, rue de la Centenaire;Paris La Defense;178;92081
18967;100, rue des Rosiers;Everett;79;98201
18205;100, rue des Rosiers;Pantin;179;93500
29281;100, rue Descartes;Boulogne-Billancourt;178;92100
25486;100, rue Jean Mermoz;Paris;161;75002
25115;100, rue Maillard;Roubaix;145;59100
15272;1000 Bidweld Street;Haney;7;V2W 1W2
27558;1001, rue des Bouchers;Paris;161;75012
18858;1001bis, boulevard Saint Germain;Roubaix;145;59100
26229;1002 N. Spoonwood Court;Berkeley;9;94704
24883;1002 N. Spoonwood Court;Hervey Bay;64;4655
19379;1003 Matterhorn Ct;Lebanon;58;97355
15776;1004, rue des Bouchers;Paris;161;75019
19638;1005 Fremont Street;Colma;9;94014
14068;1005 Matterhorn Ct.;Cambridge;14;CB4 4BZ
21245;1005 Matterhorn Ct.;Mill Valley;9;94941
25310;1005 Tanager Court;Corvallis;58;97330
23089;1005 Tanager Court;Milsons Point;50;2061
21707;1005 Valley Oak Plaza;Langley;7;V3A 4R2
28674;1005 Valley Oak Plaza;London;14;SW6 SBY
24412;1005, rue des Bouchers;Colombes;178;92700
19673;1005, rue des Bouchers;Saint-Denis;179;93400
19506;1006 Deercreek Ln;Bellflower;9;90706
21094;1006 Deercreek Ln;Torrance;9;90505
24427;1007 Cardinet Dr.;El Cajon;9;92020
22959;1008 Lydia Lane;Burbank;9;91502
24827;1009, rue des Bouchers;Colomiers;117;31770
11975;101 Adobe Dr;Coffs Harbour;50;2450
13715;101 Adobe Dr;Puyallup;79;98371
215;101 Candy Rd.;Redmond;79;98052
13669;101, avenue de la Gare;Peterborough;14;PB12
14087;101, avenue de la Gare;Roissy en Brie;163;77680
11832;101, avenue des Champs-Elysées;Colombes;178;92700
21677;101, avenue Reille;Versailles;164;78000
17455;101, rue de Cambrai;Roubaix;145;59100
25462;101, rue de Terre Neuve;Paris;161;75010
17558;101, rue Léo Delibes;Paris;161;75009
11383;1010 Maple;Baltimore;32;21201
14597;1010, avenue de l´ Union Centrale;Saint Germain en Laye;164;78100
21574;1010, impasse Notre-Dame;Orleans;131;45000
21686;1011 Green St.;Bellingham;79;98225
24373;1011 Yolanda Circle;Berkeley;9;94704
21121;1011 Yolanda Circle;N. Vancouver;7;V7L 4J4
25059;1011, avenue Foch;Pantin;179;93500
28226;1013 Buchanan Rd;Port Macquarie;50;2444
28485;1013 Buchanan Rd;Yakima;79;98901
25633;1013 Holiday Hills Dr.;Bremerton;79;98312
26683;1013 Holiday Hills Dr.;Gateshead;14;GA10
20313;1015 Lynwood Drive;Metchosin;7;V9
11855;1016 Park Avenue;Burbank;9;91502
15922;1019 Book Road;Rhodes;50;2138
25529;1019 Buchanan Road;Woodland Hills;9;91364
18917;1019 Candy Rd.;Coffs Harbour;50;2450
21281;1019 Carletto Drive;Berkeley;9;94704
12444;1019 Chance Drive;Sedro Woolley;79;98284
27779;1019 Kenwal Rd.;Lake Oswego;58;97034
28433;1019 Mt. Davidson Court;Burien;79;98168
17038;1019 Mt. Davidson Court;London;14;SW8 4BG
13354;1019 Pennsylvania Blvd;Marysville;79;98270
355;102 Silverado Drive;W. Linn;58;97068
27547;102 Vista Place;Milton Keynes;14;MK8 8DF
15015;102 Vista Place;Santa Monica;9;90401
11456;102, rue de Berri;Les Ulis;177;91940
12359;1020 Book Road;Bremerton;79;98312
25449;1020 Carletto Drive;Matraville;50;2036
27683;1020 Carletto Drive;Santa Cruz;9;95062
19089;1020, quai de Grenelle;Croix;145;59170
15467;1020, quai de Grenelle;Versailles;164;78000
33;10203 Acorn Avenue;Calgary;1;T2P 2G8
11706;1023 Hawkins Street;Lebanon;58;97355
27149;1023 Hawkins Street;Townsville;64;4810
26959;1023 Riveria Way;Burbank;9;91502
12148;1023 Riviera Way;Oxford;14;OX1
22014;1024 Walnut Blvd.;Colma;9;94014
29504;1025 Holly Oak Drive;Leeds;14;LE18
29096;1025 R St.;Kirkland;79;98033
12787;1025 Yosemite Dr.;Oregon City;58;97045
24604;1025 Yosemite Dr.;Townsville;64;4810
27875;10257, avenue de l´Europe;Saint-Denis;179;93400
21807;1026 Mt. Wilson Pl.;Lynnwood;79;98036
24165;1026 Mt. Wilson Pl.;South Melbourne;77;3205
20407;1028 Green View Court;Chula Vista;9;91910
18329;1028 Green View Court;Oregon City;58;97045
26805;1028 Indigo Ct.;Issaquah;79;98027
19489;1028 Indigo Ct.;Warrnambool;77;3280
24310;1028 Royal Oak Rd.;Burlingame;9;94010
27838;1029 Birchwood Dr;Burien;79;98168
14851;1029 Birchwood Dr;Olympia;79;98501
19207;103, avenue des Champs-Elysées;Paris La Defense;178;92081
17984;103, rue de Fontfroide;Lille;145;59000
17950;1030 Ambush Dr.;Bury;14;PE17
11856;1032 Buena Vista;North Ryde;50;2113
18817;1032 Coats Road;Stoke-on-Trent;14;AS23
16962;1032 Cowell Road;Colombes;178;92700
23530;1035 Arguello Blvd.;San Diego;9;92102
29248;1035, boulevard du Montparnasse;Paris;161;75002
17385;1036 Mason Dr;Port Orchard;79;98366
19388;1037 Hayes Court;Stoke-on-Trent;14;AS23
25893;1039 Adelaide St.;Port Macquarie;50;2444
22698;1039 Adelaide St.;West Covina;9;91791
28740;1039, rue Mazagran;Drancy;179;93700
24852;104 Hilltop Dr.;Concord;9;94519
26156;104 Hilltop Dr.;Springwood;50;2777
21304;104 Kaski Ln.;Portland;58;97205
21223;1040 Greenbush Drive;Newton;7;V2L3W8
27234;1040 Greenbush Drive;Silverwater;50;2264
20210;1040 Northridge Road;London;14;W1X3SE
24829;1040 Northridge Road;Woodland Hills;9;91364
24007;1042 Hooftrail Way;Newcastle;50;2300
20090;1044 San Carlos;Cincinnati;55;45202
19128;1045 Lolita Drive;Torrance;9;90505
27798;1045 Lolita Drive;Townsville;64;4810
21596;1046 Cloverleaf Circle;Shawnee;7;V8Z 4N5
15654;1046 San Carlos Avenue;Colma;9;94014
29004;1047 Las Quebradas Lane;North Sydney;50;2055
15558;1047 Las Quebradas Lane;Oak Bay;7;V8P
25019;1048 Burwood Way;Haney;7;V2W 1W2
17568;1048 Burwood Way;Hervey Bay;64;4655
20910;1048 Las Quebradas Lane;Walla Walla;79;99362
24431;1048 Las Quebradas Lane;Wollongong;50;2500
25867;105 Clark Creek Lane;Port Macquarie;50;2444
12650;105 Woodruff Ln.;Bellingham;79;98225
24162;105 Woodruff Ln.;Oakland;9;94611
13883;1050 Creed Ave;Lebanon;58;97355
25816;1050 Creed Ave;London;14;W10 6BL
26942;1050 Greenhills Circle;Lane Cove;50;1597
16841;1050 Greenhills Circle;Langley;7;V3A 4R2
859;1050 Oak Street;Seattle;79;98104
26989;1052 Stanford Street;El Cajon;9;92020
19979;1053 Rain Drop Circle;Warrnambool;77;3280
15460;1054 Vine Circle;Burbank;9;91502
20017;1054 Vloching Circle;York;14;Y024 1GF
27652;1055 Horseshoe Road;London;14;SW1P 2NU
19747;1055, rue Basse-du-Rocher;Paris;161;75009
11788;10570, rue Lamarck;Saint Germain en Laye;164;78100
21287;10571, rue de Varenne;Lieusaint;163;77127
29123;1058 Kirker Pass Road;Bendigo;77;3550
20038;1058 Kirker Pass Road;Westminster;7;V3L 1H4
26861;1058 Miwok Way;Bellingham;79;98225
21545;1058 Park Blvd.;Woodburn;58;97071
13342;1059 Delta Fair Blvd.;Port Hammond;7;V6B 3P7
29387;1059 Kirkwood Ct;W. York;14;BD1 4SJ
16475;1059 Stonewood Ct;Glendale;9;91203
29015;1060 Mcelroy Court;Burbank;9;91502
24496;1060 Mcelroy Court;South Melbourne;77;3205
28294;1061 Buskrik Avenue;Coronado;9;92118
147;1061 Buskrik Avenue;Edmonds;79;98020
15754;1061 Carzino Ct;Bracknell;14;RG12 8TB
16399;1061 Carzino Ct;Kirkby;14;KB9
22171;1061 Delta Fair Blvd.;Bremerton;79;98312
28845;1061 Delta Fair Blvd.;Milwaukie;58;97222
27487;1063 Pinehurst Court;Lakewood;9;90712
23736;1063 Pinehurst Court;Oxford;14;OX1
18224;1064 Almond Drive;Warrington;14;WA3 7BH
23075;1064 Armstrong Rd.;Langley;7;V3A 4R2
21518;1064 Armstrong Rd.;South Melbourne;77;3205
26756;1064 Diver Way;Spring Valley;9;91977
28070;1064 Slavio;Lebanon;58;97355
110;1064 Slow Creek Road;Seattle;79;98104
22560;1064 William Way;Darlinghurst;50;2010
11708;1064 William Way;Woodland Hills;9;91364
14542;1065 Almond St.;Maidenhead;14;SL67RJ
23031;1065 Almond St.;Santa Cruz;9;95062
21830;1065 Coachman Pl.;Burien;79;98168
21884;1065 Coachman Pl.;Wollongong;50;2500
24315;1068 N Sweetbriar Court;La Jolla;9;92806
22223;1069 Ahwanee Lane;Daly City;9;94015
19445;1069 Ahwanee Lane;North Ryde;50;2113
27386;1069 Bynum Way;Puyallup;79;98371
23603;1069 Central Blvd.;Hobart;71;7001
29022;1069, boulevard du Montparnasse;Paris;161;75002
26200;107 Woodside Court;Glendale;9;91203
23236;107, rue des Bouchers;Chatou;164;78400
27294;1071 Stanz Grace St.;Chula Vista;9;91910
29493;1073 Bonnie Lane;Port Macquarie;50;2444
18696;1074 Lori Drive;Lake Oswego;58;97034
28820;1075 San Miguel Circle;Oxford;14;OX1
16720;1077 Laurel Drive;Bellingham;79;98225
15134;1077 Laurel Drive;Long Beach;9;90802
27734;1077 Pheasant Drive;Downey;9;90241
17178;1077 Willow Court;Burbank;9;91502
19392;1077 Willow Court;Imperial Beach;9;91932
26187;1078 Aloe Vera Road;Beaverton;58;97005
32508;108 Lakeside Court;Bellevue;79;98004
13613;108 Lakeside Court;Corvallis;58;97330
13462;1080 Crestwood Circle;Metchosin;7;V9
21425;1080 Crestwood Circle;Rockhampton;64;4700
21640;1080, quai de Grenelle;Saint Ouen;103;17490
25872;1082 Crivello Avenue;Cranbourne;77;3977
15172;1082 Crivello Avenue;Glendale;9;91203
15927;1082 Selena Court;Reading;14;RG7 5H7
14575;1082 Selena Court;Runcorn;14;TY31
15037;1083 W. Hook Road;Los Angeles;9;90012
23999;1083 W. Hookston Road;Chantilly;75;20151
24329;1084 Meadow Glen Way;Chula Vista;9;91910
11592;1084 Meadow Glen Way;Oxford;14;OX14 4SE
22559;1085 Ash Lane;London;14;W1N 9FA
25334;1085 Ash Lane;Spokane;79;99202
13970;1085 Greenbelt Way;Los Angeles;9;90012
13859;1086 Ash Lane;National City;9;91950
29028;1086 Clayton Road;Berks;14;SL4 1RH
25914;1086 Clayton Road;Portland;58;97205
19662;1086 Rose Dr.;Olympia;79;98501
19570;1087 Knollview Court;Novato;9;94947
25271;1087 Park Tree Ct.;Goulburn;50;2580
15579;1088 Ash Lane;Bury;14;PE17
25663;1088 Ash Lane;Hawthorne;64;4171
16342;109 Clay Road;Hervey Bay;64;4655
20912;109 Clayton Road;London;14;W1N 9FA
11435;109, avenue des Ternes;Les Ulis;177;91940
24408;1090 El Dorado Way;Vancouver;7;V7L 4J4
29684;1090, quai de Grenelle;Paris;161;75012
24777;1091 Bloching Circle;Lemon Grove;9;91945
29842;1092 Boxer Blvd;Port Hammond;7;V6B 3P7
27009;1092 Pinole Valley Rd.;Oakland;9;94611
20114;1093 Gatter Court;San Gabriel;9;91776
22145;1093 Via Romero;San Diego;9;92102
25565;1094 Loveridge Circle;Beaverton;58;97005
15488;1094 Loveridge Circle;Oregon City;58;97045
21423;1095 Collins Drive;Runcorn;14;TY31
24050;1095 Collins Drive;Seaford;77;3198
15315;1097 Kulani Lane;Kirkland;79;98033
23458;1097 Kulani Lane;London;14;SW19 3RU
27220;1098 Lawton Street;Peterborough;14;PB12
17135;1098 Lawton Street;Spokane;79;99202
26898;1099 C Street;Langley;7;V3A 4R2
25050;1099 C Street;London;14;SW1P 2NU
20557;1099 Catalpa Court;Redmond;79;98052
13175;10bis, rue des Peupliers;Les Ulis;177;91940
25774;11 Sunrise Drive;Darlinghurst;50;2010
26033;11 Sunrise Drive;Mill Valley;9;94941
26207;11, allée des Princes;Colombes;178;92700
28746;11, avenue de la Gare;Lieusaint;163;77127
29510;11, avenue de la Gare;Saint Ouen;103;17490
24447;11, avenue du Port;Paris;161;75016
25215;11, avenue du Président-Kennedy;Bobigny;179;93000
23027;11, avenue du Président-Kennedy;Morangis;177;91420
15409;11, avenue du Président-Kennedy;Paris;161;75007
25357;11, avenue du Président-Kennedy;Paris La Defense;178;92081
25332;11, avenue du Président-Kennedy;Roubaix;145;59100
27008;11, avenue du Président-Kennedy;Saint-Denis;179;93400
26458;11, avenue du Président-Kennedy;Verrieres Le Buisson;177;91370
28999;11, boulevard Tremblay;Saint Germain en Laye;164;78100
23602;11, place de la République;Paris;161;75016
18023;11, quai de l´ Iton;Bobigny;179;93000
24483;11, quai de l´ Iton;Chatou;164;78400
15516;11, quai de l´ Iton;Courbevoie;178;92400
27020;11, quai de l´ Iton;Lille;145;59000
20822;11, quai de l´ Iton;Pantin;179;93500
24982;11, quai de l´ Iton;Paris;161;75002
16506;11, quai de l´ Iton;Paris;161;75005
18107;11, quai de l´ Iton;Roissy en Brie;163;77680
29722;11, quai de l´ Iton;Saint Ouen;103;17490
28316;11, rue de Cambrai;Boulogne-Billancourt;178;92100
29244;11, rue de Cambrai;Orly;180;94310
28799;11, rue de Cambrai;Paris;161;75019
16649;11, rue de la Cavalerie;Esher-Molesey;14;EM15
29619;11, rue de l'Espace De Schengen;Boulogne-Billancourt;178;92100
23274;11, rue de l'Espace De Schengen;Paris;161;75007
29275;11, rue de l'Espace De Schengen;Roncq;145;59223
29352;11, rue de l'Espace De Schengen;Saint Ouen;166;80610
29583;11, rue de l'Espace De Schengen;Verrieres Le Buisson;177;91370
26043;11, rue de Maubeuge;Metz;143;57000
18806;11, rue de Maubeuge;Saint Germain en Laye;164;78100
20342;11, rue de Terre Neuve;Lieusaint;163;77127
20399;11, rue de Terre Neuve;Villeneuve-d'Ascq;145;59491
13649;11, rue Descartes;Saint-Denis;179;93400
13080;11, rue Descartes;Versailles;164;78000
25544;11, rue du Départ;Sèvres;178;92310
29268;11, rue du Puits Dixme;Colombes;178;92700
27982;11, rue du Puits Dixme;Courbevoie;178;92400
22435;11, rue du Puits Dixme;Drancy;179;93700
15448;11, rue du Puits Dixme;Orleans;131;45000
28951;11, rue du Puits Dixme;Orly;180;94310
28933;11, rue du Puits Dixme;Paris;161;75007
29088;11, rue du Puits Dixme;Paris;161;75013
11666;11, rue Henri Gagnon;Roissy en Brie;163;77680
23443;11, rue Philibert-Delorme;Metz;143;57000
24771;11, rue Saint Denis;Drancy;179;93700
27557;11, rue Saint Denis;Saint Germain en Laye;164;78100
16884;11, rue Villedo;Paris;161;75009
23691;110 E. Watson Court;Hervey Bay;64;4655
21740;110 E. Watson Court;Sooke;7;V0
18660;110 Katherine Drive;Brisbane;64;4000
14909;110, boulevard Beau Marchais;Gateshead;14;GA10
29031;1101 C Street;Daly City;9;94015
14359;1101, rue Lauriston;Lynnwood;79;98036
13654;1101, rue Lauriston;Sèvres;178;92310
26729;1102 Geary Ct;Lancaster;14;LA1 1LN
26813;1102 Ravenwood;North Ryde;50;2113
113;1102 Ravenwood;Seattle;79;98104
28241;1102 Ravenwood;W. Linn;58;97068
16567;1102, rue Maillard;Sèvres;178;92310
14589;1102, rue Maillard;Versailles;164;78000
