SalesOrderID;OrderDate;DueDate;ShipDate;CustomerID;SalesPersonID;TerritoryID;Freight;TotalDue;OrderYear;OrderMonth
43659;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29825;279;5;616,0984;23153,2339;2011;5
43660;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29672;279;5;38,8276;1457,3288;2011;5
43661;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29734;282;6;985,553;36865,8012;2011;5
43662;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29994;282;6;867,2389;32474,9324;2011;5
43663;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29565;276;4;12,5838;472,3108;2011;5
43664;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29898;280;1;732,81;27510,4109;2011;5
43665;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29580;283;1;429,9821;16158,6961;2011;5
43666;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;30052;276;4;151,9921;5694,8564;2011;5
43667;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29974;277;3;183,1626;6876,3649;2011;5
43668;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29614;282;6;1081,8017;40487,7233;2011;5
43669;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29747;283;1;22,0367;807,2585;2011;5
43670;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29566;275;3;183,6126;6893,2549;2011;5
43671;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;29890;283;1;244,0042;9153,6054;2011;5
43672;2011-05-31 00:00:00.000;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;30067;282;6;183,6257;6895,41;2011;5
